Name,Price,VC,Cover Art,URL
Aura-Aura Climber,1.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/aura-aura-climber-3ds/boxart,www.nintendo.com/games/detail/aura-aura-climber-3ds/
Avenging Spirit,2.99,Game Boy,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/avenging-spirit-3ds/boxart,www.nintendo.com/games/detail/avenging-spirit-3ds/
Azada,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/azada-3ds/boxart,www.nintendo.com/games/detail/azada-3ds/
Azure Snake,0.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/azure-snake-3ds/boxart,www.nintendo.com/games/detail/azure-snake-3ds/
Azure Striker GUNVOLT,14.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/azure-striker-gunvolt-3ds/boxart,www.nintendo.com/games/detail/azure-striker-gunvolt-3ds/
Azure Striker Gunvolt: The Anime,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/a/azure-striker-gunvolt-the-anime-3ds/boxart,www.nintendo.com/games/detail/azure-striker-gunvolt-the-anime-3ds/
B.O.O.L: Master labyrinth puzzles,19.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/b-o-o-l-master-labyrinth-puzzles-3ds/boxart,www.nintendo.com/games/detail/b-o-o-l-master-labyrinth-puzzles-3ds/
Balloon Fight,4.99,NES,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/balloon-fight-3ds/boxart,www.nintendo.com/games/detail/balloon-fight-3ds/
Balloon Kid,2.99,Game Boy,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/balloon-kid-3ds/boxart,www.nintendo.com/games/detail/balloon-kid-3ds/
Balloon Pop Remix,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/balloon-pop-remix-3ds/boxart,www.nintendo.com/games/detail/balloon-pop-remix-3ds/
Banana Bliss: Jungle Puzzles,3.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/banana-bliss-jungle-puzzles-3ds/boxart,www.nintendo.com/games/detail/banana-bliss-jungle-puzzles-3ds/
Baseball,2.99,Game Boy,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/baseball-3ds/boxart,www.nintendo.com/games/detail/baseball-3ds/
Bases Loaded,4.99,NES,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bases-loaded-3ds/boxart,www.nintendo.com/games/detail/bases-loaded-3ds/
Batman: Arkham Origins Blackgate,29.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/batman-arkham-origins-blackgate-3ds/boxart,www.nintendo.com/games/detail/batman-arkham-origins-blackgate-3ds/
Battleminer,3.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/battleminer-3ds/boxart,www.nintendo.com/games/detail/battleminer-3ds/
Battleminerz,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/battleminerz-3ds/boxart,www.nintendo.com/games/detail/battleminerz-3ds/
Best of Arcade Games - Air Hockey,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-arcade-games-air-hockey-3ds/boxart,www.nintendo.com/games/detail/best-of-arcade-games-air-hockey-3ds/
Best of Arcade Games - Brick Breaker,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-arcade-games-brick-breaker-3ds/boxart,www.nintendo.com/games/detail/best-of-arcade-games-brick-breaker-3ds/
